date,weekday,weekday_num,month,year,season,is_school_holiday,is_mon,is_tue_thu,is_fri,rain_total,rain_peak,wind_peak,wind_mean,temp_min,temp_mean,humidity_max,snow_total,weather_risk,car_est_min,train_planned_journey_min,train_actual_journey_min,train_delay_arr_median_s,train_on_time_pct,train_cancelled_pct,train_sched_min,car_faster_than_train
2021-04-02,Friday,4,4,2021,Spring,False,0,0,1,0.0,0.0,15.5,13.2,2.0,2.75,96.0,0.0,0,68.4,58.5,58.483333333333334,-84.5,1.0,0.0,58.5,1
2021-04-06,Tuesday,1,4,2021,Spring,False,0,1,0,0.1,0.1,21.0,19.075,1.4,1.625,85.0,0.07,3,80.3,58.5,58.95,-14.5,1.0,0.0,58.5,0
2021-04-07,Wednesday,2,4,2021,Spring,False,0,0,0,0.6000000000000001,0.2,26.3,24.25,1.5,1.575,74.0,0.42000000000000004,3,71.4,58.5,57.86666666666667,-100.0,1.0,0.0,58.5,0
2021-04-08,Thursday,3,4,2021,Spring,False,0,1,0,0.0,0.0,13.2,12.175,0.8,2.0,69.0,0.0,0,79.1,58.5,58.30833333333334,-5.0,1.0,0.0,58.5,0
2021-04-09,Friday,4,4,2021,Spring,False,0,0,1,0.0,0.0,14.2,13.25,3.7,4.325,73.0,0.0,0,68.4,58.5,57.3,-74.5,1.0,0.0,58.5,0
2021-04-12,Monday,0,4,2021,Spring,False,1,0,0,0.5,0.3,11.6,11.075,0.2,1.1749999999999998,89.0,0.35,3,76.2,58.5,55.125,-103.0,1.0,0.0,58.5,0
2021-04-13,Tuesday,1,4,2021,Spring,False,0,1,0,0.0,0.0,9.0,7.7,-1.4,0.07500000000000007,92.0,0.0,1,85.9,58.5,57.108333333333334,-53.5,1.0,0.0,58.5,0
2021-04-14,Wednesday,2,4,2021,Spring,False,0,0,0,0.0,0.0,8.0,6.5,-1.7,0.42500000000000004,87.0,0.0,1,76.4,58.5,61.008333333333326,8.5,0.6666666666666666,0.0,58.5,0
2021-04-15,Thursday,3,4,2021,Spring,False,0,1,0,0.0,0.0,6.8,5.45,-0.9,0.675,95.0,0.0,1,84.7,58.5,57.78333333333333,-8.0,0.8333333333333334,0.0,58.5,0
2021-04-16,Friday,4,4,2021,Spring,False,0,0,1,0.0,0.0,7.8,7.0,-0.4,0.9500000000000001,90.0,0.0,1,73.2,58.5,57.90833333333333,-17.5,1.0,0.0,58.5,0
2021-04-19,Monday,0,4,2021,Spring,False,1,0,0,0.1,0.1,9.9,8.75,3.7,5.175,96.0,0.0,0,76.2,58.5,57.825,-10.5,1.0,0.0,58.5,0
2021-04-20,Tuesday,1,4,2021,Spring,False,0,1,0,0.0,0.0,4.1,3.25,2.7,4.725,100.0,0.0,1,80.3,58.5,58.599999999999994,-38.0,1.0,0.0,58.5,0
2021-04-21,Wednesday,2,4,2021,Spring,False,0,0,0,0.1,0.1,8.7,7.525,4.2,6.5,97.0,0.0,1,71.4,58.5,58.258333333333326,-32.5,1.0,0.0,58.5,0
2021-04-22,Thursday,3,4,2021,Spring,False,0,1,0,0.0,0.0,9.0,8.775,1.5,2.825,85.0,0.0,0,79.1,58.5,61.46666666666667,-29.0,0.8333333333333334,0.0,58.5,0
2021-04-23,Friday,4,4,2021,Spring,False,0,0,1,0.0,0.0,9.2,7.5,0.5,2.15,95.0,0.0,0,68.4,58.5,58.400000000000006,-22.5,1.0,0.0,58.5,1
2021-04-26,Monday,0,4,2021,Spring,False,1,0,0,0.0,0.0,11.2,10.674999999999999,1.2,2.575,89.0,0.0,0,76.2,58.5,57.575,-29.5,1.0,0.0,58.5,0
2021-04-27,Tuesday,1,4,2021,Spring,False,0,1,0,0.0,0.0,7.6,7.0,2.7,4.0,82.0,0.0,0,80.3,58.5,55.983333333333334,-57.5,1.0,0.0,58.5,0
2021-04-28,Wednesday,2,4,2021,Spring,False,0,0,0,0.0,0.0,8.2,7.7749999999999995,3.8,5.3,69.0,0.0,0,71.4,58.5,63.275000000000006,111.0,0.6666666666666666,0.0,58.5,1
2021-04-29,Thursday,3,4,2021,Spring,False,0,1,0,0.0,0.0,17.3,14.175,6.2,7.3,93.0,0.0,0,79.1,58.5,57.60000000000001,18.0,1.0,0.0,58.5,0
2021-04-30,Friday,4,4,2021,Spring,False,0,0,1,0.0,0.0,11.4,10.55,4.5,5.375,80.0,0.0,0,68.4,58.5,69.01666666666668,662.5,0.3333333333333333,0.0,58.5,1
2021-05-03,Monday,0,5,2021,Spring,False,1,0,0,0.0,0.0,16.6,14.925,2.9,4.925,79.0,0.0,0,76.2,58.5,57.19166666666667,-25.0,1.0,0.0,58.5,0
2021-05-04,Tuesday,1,5,2021,Spring,False,0,1,0,0.7,0.3,39.0,37.675,9.9,10.075,81.0,0.0,0,80.3,58.5,58.56666666666666,26.0,1.0,0.0,58.5,0
2021-05-05,Wednesday,2,5,2021,Spring,False,0,0,0,0.30000000000000004,0.1,21.3,20.1,4.8,5.425,83.0,0.0,0,71.4,58.5,58.833333333333336,63.5,1.0,0.0,58.5,0
2021-05-06,Thursday,3,5,2021,Spring,False,0,1,0,0.0,0.0,13.2,11.924999999999999,4.4,5.425,93.0,0.0,0,79.1,58.5,59.43333333333334,-43.0,1.0,0.0,58.5,0
2021-05-07,Friday,4,5,2021,Spring,False,0,0,1,0.6,0.3,20.4,18.349999999999998,3.9,4.875,90.0,0.0,0,68.4,58.5,58.44166666666666,10.5,1.0,0.0,58.5,1
2021-05-10,Monday,0,5,2021,Spring,False,1,0,0,1.0,0.5,30.4,25.825,14.9,15.325,85.0,0.0,0,78.4,58.5,58.79166666666667,-55.5,1.0,0.0,58.5,0
2021-05-11,Tuesday,1,5,2021,Spring,False,0,1,0,0.0,0.0,7.2,5.225,10.9,12.075,86.0,0.0,0,80.3,58.5,57.025000000000006,-30.5,1.0,0.0,58.5,0
2021-05-12,Wednesday,2,5,2021,Spring,False,0,0,0,0.0,0.0,10.4,10.0,7.9,9.575,91.0,0.0,0,71.4,58.5,59.06666666666667,-40.5,1.0,0.0,58.5,0
2021-05-14,Friday,4,5,2021,Spring,False,0,0,1,0.0,0.0,6.8,6.3,4.9,8.025,94.0,0.0,0,68.4,58.5,58.233333333333334,-8.5,0.8333333333333334,0.0,58.5,0
2021-05-17,Monday,0,5,2021,Spring,False,1,0,0,0.6,0.3,24.0,23.625,9.8,10.475,88.0,0.0,0,76.2,58.5,62.93333333333334,123.5,0.8333333333333334,0.0,58.5,0
2021-05-18,Tuesday,1,5,2021,Spring,False,0,1,0,0.1,0.1,16.2,15.675,9.1,9.9,93.0,0.0,0,80.3,58.5,58.45,7.0,1.0,0.0,58.5,0
2021-05-19,Wednesday,2,5,2021,Spring,False,0,0,0,0.0,0.0,17.3,16.225,7.9,9.55,90.0,0.0,0,71.4,58.5,58.68333333333334,7.5,0.8333333333333334,0.0,58.5,0
2021-05-20,Thursday,3,5,2021,Spring,False,0,1,0,0.0,0.0,9.4,8.6,5.5,7.9,96.0,0.0,0,79.1,58.5,58.33333333333333,32.5,1.0,0.0,58.5,0
2021-05-21,Friday,4,5,2021,Spring,False,0,0,1,0.0,0.0,33.3,27.925,11.4,11.825,73.0,0.0,0,68.4,58.5,60.43333333333334,61.5,0.8333333333333334,0.0,58.5,1
2021-05-25,Tuesday,1,5,2021,Spring,False,0,1,0,0.5,0.2,23.0,22.225,7.9,8.825,90.0,0.0,0,80.3,58.5,61.41666666666667,110.0,0.8333333333333334,0.0,58.5,0
2021-05-26,Wednesday,2,5,2021,Spring,False,0,0,0,0.0,0.0,11.1,9.6,7.0,8.575,93.0,0.0,0,71.4,58.5,58.80833333333334,44.5,1.0,0.0,58.5,0
2021-05-27,Thursday,3,5,2021,Spring,False,0,1,0,0.0,0.0,20.5,17.275,8.9,10.325,95.0,0.0,0,79.1,58.5,59.775000000000006,111.0,1.0,0.0,58.5,0
2021-05-28,Friday,4,5,2021,Spring,False,0,0,1,0.0,0.0,7.4,5.225,4.7,7.550000000000001,100.0,0.0,1,68.4,63.5,63.5,0.0,1.0,0.0,63.5,1
2021-05-31,Monday,0,5,2021,Spring,False,1,0,0,0.0,0.0,9.7,8.45,10.1,12.6,88.0,0.0,0,76.2,58.5,58.858333333333334,27.0,1.0,0.0,58.5,0
2021-06-01,Tuesday,1,6,2021,Summer,False,0,1,0,0.0,0.0,10.3,9.25,10.7,13.55,90.0,0.0,0,80.3,58.5,66.65,45.0,0.8333333333333334,0.0,58.5,0
2021-06-02,Wednesday,2,6,2021,Summer,False,0,0,0,0.0,0.0,9.9,8.925,11.2,14.1,80.0,0.0,0,71.4,58.5,67.05833333333334,172.5,0.6666666666666666,0.0,58.5,1
2021-06-03,Thursday,3,6,2021,Summer,False,0,1,0,0.3,0.3,12.4,12.275,17.2,18.799999999999997,92.0,0.0,0,79.1,58.5,57.61666666666667,-12.0,1.0,0.0,58.5,0
2021-06-04,Friday,4,6,2021,Summer,False,0,0,1,0.0,0.0,4.9,4.175,14.1,16.299999999999997,89.0,0.0,0,68.4,58.5,58.03333333333333,19.5,1.0,0.0,58.5,0
2021-06-07,Monday,0,6,2021,Summer,False,1,0,0,0.0,0.0,8.2,7.574999999999999,10.7,13.0,93.0,0.0,0,76.2,58.5,58.95833333333333,15.0,1.0,0.0,58.5,0
2021-06-08,Tuesday,1,6,2021,Summer,False,0,1,0,0.0,0.0,4.7,2.625,13.2,15.35,95.0,0.0,0,80.3,58.5,56.33333333333333,-21.5,1.0,0.0,58.5,0
2021-06-09,Wednesday,2,6,2021,Summer,False,0,0,0,0.0,0.0,7.6,6.525,13.4,15.5,91.0,0.0,0,71.4,58.5,56.8,-10.0,1.0,0.0,58.5,0
2021-06-10,Thursday,3,6,2021,Summer,False,0,1,0,0.0,0.0,8.8,6.9,13.2,15.825,94.0,0.0,0,79.1,58.5,58.41666666666667,55.5,1.0,0.0,58.5,0
2021-06-11,Friday,4,6,2021,Summer,False,0,0,1,0.0,0.0,11.2,9.975,14.2,16.25,97.0,0.0,1,68.4,58.5,58.025,-38.0,1.0,0.0,58.5,0
2021-06-14,Monday,0,6,2021,Summer,False,1,0,0,0.0,0.0,6.8,6.225,12.4,15.475,79.0,0.0,0,76.2,59.0,58.641666666666666,-3.5,1.0,0.0,59.0,0
2021-06-15,Tuesday,1,6,2021,Summer,False,0,1,0,0.0,0.0,10.7,10.075,15.9,17.525,90.0,0.0,0,80.3,59.0,71.51666666666667,558.0,0.0,0.0,59.0,1
2021-06-16,Wednesday,2,6,2021,Summer,False,0,0,0,0.0,0.0,9.2,8.174999999999999,15.4,18.0,71.0,0.0,0,71.4,59.0,61.15833333333333,-4.5,0.6666666666666666,0.0,59.0,0
2021-06-17,Thursday,3,6,2021,Summer,False,0,1,0,0.0,0.0,19.2,17.275,22.3,24.7,66.0,0.0,0,79.1,59.0,58.81666666666666,-36.5,1.0,0.0,59.0,0
2021-06-18,Friday,4,6,2021,Summer,False,0,0,1,7.6000000000000005,6.4,19.3,15.425,19.3,20.15,95.0,0.0,2,76.6,59.0,70.18333333333334,710.5,0.16666666666666666,0.0,59.0,1
