date,car_actual_min,car_actual_tunnel_cal_min,drukte_proxy_voertuigen
2025-12-01,112.8,112.8,5612.5
2025-12-02,112.8,112.8,5613.0
2025-12-03,115.9,115.9,5854.5
2025-12-04,113.9,113.9,5699.5
2025-12-05,115.1,115.1,5793.5
2025-12-06,72.9,72.9,2521.0
2025-12-07,60.0,60.0,1165.0
2025-12-08,112.6,112.6,5600.5
2025-12-09,109.1,109.1,5325.5
2025-12-10,116.8,116.8,5924.5
2025-12-11,118.1,118.1,6025.5
2025-12-12,117.3,117.3,5965.5
2025-12-13,75.7,75.7,2740.0
2025-12-14,60.0,60.0,1275.0
2025-12-15,114.8,114.8,5771.5
2025-12-16,115.8,115.8,5844.5
2025-12-17,116.4,116.4,5895.0
2025-12-18,120.0,120.0,6196.5
2025-12-19,115.2,115.2,5797.0
2025-12-20,79.5,79.5,3034.5
2025-12-21,60.0,60.0,1361.5
2025-12-22,107.1,107.1,5169.0
2025-12-23,101.7,101.7,4752.5
2025-12-24,80.1,80.1,3084.5
2025-12-25,60.0,60.0,538.5
2025-12-26,67.9,67.9,2135.5
2025-12-27,60.0,60.0,1487.0
2025-12-28,60.0,60.0,967.0
2025-12-29,84.5,84.5,3421.0
2025-12-30,83.8,83.8,3364.5
2025-12-31,71.8,71.8,2440.0
